Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
KJ440076.1	Escherichia coli strain CGMHLK75 plasmid pLK75, complete sequence	circular	56489	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pLK75	CGMHLK75	NA	Taiwan	IncN	MOBF	MPF_T	MOBF	Conjugative
KJ460501.1	Shigella sonnei strain #1081 plasmid p1081-CTXM, complete sequence	circular	62194	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	p1081-CTXM	#1081	NA	NA	IncI2	MOBP	MPF_T	NA	Conjugative
KJ470776.1	Escherichia coli strain K317 plasmid ColE7-K317, complete sequence	circular	6077	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	ColE7-K317	K317	NA	NA	ColRNAI_rep_cluster_1291	MOBQ	NA	NA	Mobilizable
KJ484626.1	Escherichia coli plasmid pH2332-166, complete sequence	circular	166594	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH2332-166	NA	01-Aug-2013	Switzerland	IncQ1,IncFII,IncFIB,IncFIIA	MOBF	MPF_F	MOBF	Conjugative
KJ484627.1	Escherichia coli plasmid pH2332-107, complete sequence	circular	107386	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH2332-107	NA	01-Aug-2013	Switzerland	IncFIIA	MOBP	MPF_I	MOBP	Conjugative
KJ484628.1	Escherichia coli plasmid pH2291-144, complete sequence	circular	144925	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH2291-144	NA	01-Aug-2013	Switzerland	IncFIB,IncFII,IncFIIA	MOBF	MPF_F	MOBF	Conjugative
KJ484629.1	Escherichia coli plasmid pH2291-112, complete sequence	circular	112671	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH2291-112	NA	01-Aug-2013	Switzerland	IncI1	MOBP	MPF_I	MOBP	Conjugative
KJ484630.1	Escherichia coli plasmid pH1519-88, complete sequence	circular	88678	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH1519-88	NA	01-Aug-2013	Switzerland	IncI1	MOBP	MPF_I	MOBP	Conjugative
KJ484631.1	Escherichia coli plasmid pH1519-76, complete sequence	circular	76197	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH1519-76	NA	01-Aug-2013	Switzerland	IncFIIA,IncFII	MOBP,MOBF	MPF_F	MOBF	Conjugative
KJ484632.1	Escherichia coli plasmid pH1519-7, complete sequence	circular	7036	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH1519-7	NA	01-Aug-2013	Switzerland	ColRNAI_rep_cluster_1857	MOBP	NA	MOBP	Mobilizable
KJ484633.1	Escherichia coli plasmid pH1519-2, complete sequence	circular	1822	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH1519-2	NA	01-Aug-2013	Switzerland	ColRNAI_rep_cluster_1885	NA	NA	NA	Non-mobilizable
KJ484634.1	Escherichia coli plasmid pH1038-142, complete sequence	circular	142875	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pH1038-142	NA	01-Aug-2013	Switzerland	IncFII,IncN,IncFIIA	MOBF,MOBF	MPF_F	MOBF	Conjugative
KJ484635.1	Escherichia coli plasmid pC60-108, complete sequence	circular	108661	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pC60-108	NA	01-Aug-2013	Switzerland	IncI1	MOBP	MPF_I	MOBP	Conjugative
KJ484636.1	Escherichia coli plasmid pC59-153, complete sequence	circular	153231	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pC59-153	NA	01-Aug-2013	Switzerland	IncFII,IncFIIA,IncFIB	MOBF	MPF_F	MOBF	Conjugative
KJ484637.1	Escherichia coli plasmid pC59-112, complete sequence	circular	112330	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pC59-112	NA	01-Aug-2013	Switzerland	IncI1	MOBP	MPF_I	MOBP	Conjugative
KJ484638.1	Escherichia coli plasmid pC49-108, complete sequence	circular	108660	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pC49-108	NA	01-Aug-2013	Switzerland	IncI1	MOBP	MPF_I	MOBP	Conjugative
KJ484639.1	Escherichia coli plasmid pC23-89, complete sequence	circular	89513	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pC23-89	NA	01-Aug-2013	Switzerland	IncI1	MOBP	MPF_I	MOBP	Conjugative
KJ484640.1	Escherichia coli plasmid pL2-87, complete sequence	circular	87042	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pL2-87	NA	01-Aug-2013	Switzerland	IncFIIA	MOBP	MPF_I	MOBP	Conjugative
KJ484641.1	Escherichia coli plasmid pL2-43, complete sequence	circular	43265	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pL2-43	NA	01-Aug-2013	Switzerland	IncN	MOBF	MPF_T	MOBF	Conjugative
KJ534568.1	Acinetobacter baumannii strain ATCC 223 plasmid AbATCC223, complete sequence	circular	8840	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	AbATCC223	ATCC 223	NA	NA	rep_cluster_1172	NA	NA	NA	Non-mobilizable
KJ534569.1	Acinetobacter baumannii strain ATCC 329 plasmid AbATCC329, complete sequence	circular	8842	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	AbATCC329	ATCC 329	NA	NA	rep_cluster_1172	NA	NA	NA	Non-mobilizable
KJ541068.1	Serratia marcescens strain A4Y426 plasmid pG5A4Y426, complete sequence	circular	32543	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	pG5A4Y426	A4Y426	NA	Canada	rep_cluster_658	NA	NA	NA	Non-mobilizable
KJ541069.1	Serratia marcescens strain A4Y201 plasmid pG5A4Y201, complete sequence	circular	40922	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	pG5A4Y201	A4Y201	NA	Canada	ColRNAI_rep_cluster_1987,rep_cluster_658	NA	NA	NA	Non-mobilizable
KJ541070.1	Escherichia coli strain A4Y413 plasmid pG5A4Y413, complete sequence	circular	22138	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pG5A4Y413	A4Y413	NA	Canada	rep_cluster_658	NA	NA	NA	Non-mobilizable
KJ541071.1	Escherichia coli strain A4Y217 plasmid pG5A4Y217, complete sequence	circular	44512	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pG5A4Y217	A4Y217	NA	Canada	rep_cluster_658	NA	NA	NA	Non-mobilizable
KJ541681.1	Klebsiella oxytoca plasmid pACM1, complete sequence	circular	89977	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	pACM1	NA	NA	NA	IncL/M	MOBP	MPF_I	NA	Conjugative
KJ547696.1	Acinetobacter lwoffii strain Iz4b plasmid pNDM-Iz4b, complete sequence	circular	46570	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	pNDM-Iz4b	Iz4b	NA	China	NA	MOBQ	MPF_T	MOBQ	Conjugative
KJ577613.1	Serratia marcescens strain Sm68313 plasmid pDCPR1, complete sequence	circular	18182	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	pDCPR1	Sm68313	NA	NA	rep_cluster_428	NA	NA	NA	Non-mobilizable
KJ586855.1	Leptospira interrogans serovar Lai str. 56601 plasmid Laicp, complete sequence	circular	64215	Spirochaetes	Spirochaetia	NA	Leptospiraceae	Leptospira	Leptospira interrogans	Laicp	56601	NA	NA	NA	NA	NA	NA	Non-mobilizable
KJ586856.1	Acinetobacter baumannii strain G7 plasmid pAB-G7-1 clone GC1, complete sequence	circular	8731	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	pAB-G7-1	G7	2002	Australia	rep_cluster_1172	NA	NA	NA	Non-mobilizable
KJ588779.1	Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pNDM-US-2, complete sequence	circular	140821	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pNDM-US-2	ATCC BAA-2146	NA	China	IncA/C2	MOBH	MPF_F	NA	Conjugative
KJ588780.1	Achromobacter xylosoxidans strain A22732 plasmid pA22732-IMP, complete sequence	circular	49804	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	pA22732-IMP	A22732	NA	China	IncP	MOBP	MPF_T	MOBP	Conjugative
KJ598491.1	Methylibium sp. T29 plasmid pT29A, complete sequence	circular	86856	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Methylibium	Methylibium sp. T29	pT29A	T29	NA	Hungary	rep_cluster_733	NA	NA	NA	Non-mobilizable
KJ598492.1	Methylibium sp. T29-B plasmid pT29B, complete sequence	circular	76724	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Methylibium	Methylibium sp. T29-B	pT29B	T29-B	NA	NA	rep_cluster_733	NA	NA	NA	Non-mobilizable
KJ599675.1	Micrococcus sp. A7 plasmid pLMA7, complete sequence	linear	82075	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus sp. A7	pLMA7	A7	NA	NA	rep_cluster_635	NA	NA	NA	Non-mobilizable
KJ616405.1	Acinetobacter pittii strain MS32 plasmid pMS32-1, complete sequence	circular	94418	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	pMS32-1	MS32	NA	Taiwan	rep_cluster_639	NA	NA	NA	Non-mobilizable
KJ616406.1	Acinetobacter pittii strain MS32 plasmid pMS32-3, complete sequence	circular	11465	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	pMS32-3	MS32	NA	Taiwan	rep_cluster_1261	NA	NA	NA	Non-mobilizable
KJ631729.1	Uncultured bacterium plasmid pEMB1 clone EMB-A1, complete sequence	circular	8744	NA	NA	NA	NA	NA	uncultured bacterium	pEMB1	NA	NA	South Korea	rep_cluster_2022	NA	NA	NA	Non-mobilizable
KJ631730.1	Uncultured bacterium plasmid pEMB3 clone EMB-B1, complete sequence	circular	9344	NA	NA	NA	NA	NA	uncultured bacterium	pEMB3	NA	NA	South Korea	NA	NA	NA	NA	Non-mobilizable
KJ631731.1	Uncultured bacterium plasmid pEMB2 clone EMB-B3, complete sequence	circular	9042	NA	NA	NA	NA	NA	uncultured bacterium	pEMB2	NA	NA	South Korea	IncQ2	MOBF	NA	NA	Mobilizable
KJ645709.1	Enterococcus faecium plasmid pXD5, complete sequence	circular	56543	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	pXD5	P26	NA	China	rep_cluster_183	NA	NA	NA	Non-mobilizable
KJ646012.1	Campylobacter jejuni strain 11601MD plasmid p11601MD, complete sequence	circular	44095	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	p11601MD	11601MD	NA	NA	rep_cluster_475	MOBP	MPF_T	NA	Conjugative
KJ653815.1	Klebsiella pneumoniae strain FOS18 plasmid pFOS18, complete sequence	circular	23939	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pFOS18	FOS18	NA	NA	IncU	NA	NA	NA	Non-mobilizable
KJ680225.1	Uncultured bacterium plasmid PLAsvaD clone PLAsvaD-1, complete sequence	circular	33405	NA	NA	NA	NA	NA	uncultured bacterium	PLAsvaD	NA	NA	Hong Kong	rep_cluster_1198	NA	NA	NA	Non-mobilizable
KJ721789.1	Klebsiella pneumoniae strain NJ HT1872 plasmid pUSKPC3, complete sequence	circular	169774	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pUSKPC3	NJ HT1872	2010	USA	IncFII,rep_cluster_1418,rep_cluster_959,IncFIA	MOBF	MPF_F	NA	Conjugative
KJ721790.1	Klebsiella pneumoniae strain TpeVGH151 plasmid pVGH151, complete sequence	circular	113637	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pVGH151	TpeVGH151	21-oct-13	Taiwan	IncFII,IncFIB,IncFII	MOBF	MPF_F	NA	Conjugative
KJ721805.1	Escherichia coli plasmid pHD0149-2, complete sequence	linear	9568	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pHD0149-2	HD0149	NA	China	NA	NA	NA	NA	Non-mobilizable
KJ756353.2	Staphylococcus aureus strain SM39 plasmid pSM39, complete sequence	circular	26036	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	pSM39	SM39	NA	Portugal: Lisbon	rep_cluster_1017,rep_cluster_1215	NA	NA	NA	Non-mobilizable
KJ767738.1	Lactobacillus plantarum subsp. plantarum strain Zhang-LL plasmid pZL2, complete sequence	circular	3261	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pZL2	Zhang-LL	NA	NA	Inc13	MOBV	NA	NA	Mobilizable
KJ776576.1	Clostridium botulinum strain Eklund2B plasmid pEklund2B, complete sequence	circular	47642	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	pEklund2B	Eklund2B	NA	NA	rep_cluster_328	MOBP	MPF_T	NA	Conjugative
KJ776578.1	Clostridium botulinum strain CDC3875 plasmid pCDC3875, complete sequence	circular	58175	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	pCDC3875	CDC3875	NA	NA	NA	NA	NA	NA	Non-mobilizable
KJ776580.1	Clostridium botulinum strain CDC5900 plasmid pCDC5900, complete sequence	circular	62986	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	pCDC5900	CDC5900	NA	NA	NA	NA	NA	NA	Non-mobilizable
KJ776581.1	Clostridium botulinum strain IFR_05/025 plasmid p05/025, complete sequence	circular	60574	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	p05/025	IFR_05/025	NA	NA	NA	MOBP	MPF_T	NA	Conjugative
KJ776583.1	Clostridium botulinum strain KapchunkaB3 plasmid pKAPB3, complete sequence	circular	48298	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	pKAPB3	KapchunkaB3	NA	NA	rep_cluster_328	MOBP	MPF_T	NA	Conjugative
KJ776584.1	Clostridium botulinum strain KapchunkaB8 plasmid pKAPB8, complete sequence	circular	48298	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	pKAPB8	KapchunkaB8	NA	NA	rep_cluster_328	MOBP	MPF_T	NA	Conjugative
KJ776585.1	Clostridium botulinum strain DB2 plasmid pDB2, complete sequence	circular	48289	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	pDB2	DB2	NA	NA	rep_cluster_328	MOBP	MPF_T	NA	Conjugative
KJ778678.1	Streptococcus agalactiae plasmid pCCH208, complete sequence	circular	4972	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	pCCH208	CCH208	NA	NA	Inc11	MOBP	NA	MOBP	Mobilizable
KJ801833.1	Lactobacillus plantarum subsp. plantarum plasmid pZL4, complete sequence	circular	12517	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pZL4	NA	NA	NA	rep_cluster_1244	NA	NA	NA	Non-mobilizable
KJ802404.1	Escherichia coli isolate GN568 plasmid pNDM-EcoGN568, complete sequence	circular	166750	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pNDM-EcoGN568	NA	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
KJ802405.1	Providencia stuartii isolate GN576 plasmid pNDM-PstGN576, complete sequence	circular	147886	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia stuartii	pNDM-PstGN576	NA	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
KJ812998.1	Enterobacter cloacae isolate GN574 plasmid pNDM-Ec1GN574, complete sequence	circular	110786	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	pNDM-Ec1GN574	NA	NA	NA	IncFII,IncFII,IncFIB	MOBF	MPF_F	NA	Conjugative
KJ817377.1	Vibrio cholerae O1 strain ICDC-1307 plasmid pVC1307, complete sequence	linear	149715	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	pVC1307	ICDC-1307	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
KJ830768.1	Bacteroides fragilis strain 69566 plasmid pBF69566b, complete sequence	circular	11019	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	pBF69566b	69566	NA	NA	rep_cluster_1085	NA	NA	NA	Non-mobilizable
KJ830769.1	Bacteroides fragilis strain 69566 plasmid pBF69566a, complete sequence	circular	6994	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	pBF69566a	69566	NA	NA	rep_cluster_722	NA	NA	NA	Non-mobilizable
KJ842484.1	Neisseria gonorrhoeae strain SA42 plasmid Australian, complete sequence	circular	3269	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	Australian	SA42	NA	NA	IncP	NA	NA	NA	Non-mobilizable
KJ850907.1	Uncultured bacterium plasmid pSFA231, complete sequence	circular	41518	NA	NA	NA	NA	NA	uncultured bacterium	pSFA231	NA	NA	NA	rep_cluster_236	MOBP	MPF_T	NA	Conjugative
KJ866866.1	Escherichia coli strain SKLX3330 plasmid pSKLX3330, complete sequence	circular	89672	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pSKLX3330	SKLX3330	NA	China	IncI1	MOBP	MPF_I	MOBP	Conjugative
KJ868088.1	Lactobacillus pentosus strain F03 plasmid pF03-1, complete sequence	circular	3282	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus	pF03-1	F03	NA	Taiwan	rep_cluster_1825	MOBP	NA	NA	Mobilizable
KJ868089.1	Lactobacillus pentosus strain F03 plasmid pF03-2, complete sequence	circular	3293	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus	pF03-2	F03	NA	Taiwan	rep_cluster_689	NA	NA	NA	Non-mobilizable
KJ868090.1	Lactobacillus pentosus strain F03 plasmid pF03-3, complete sequence	circular	1787	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus	pF03-3	F03	NA	Taiwan	rep_cluster_1402	NA	NA	NA	Non-mobilizable
KJ868091.1	Lactobacillus pentosus strain F03 plasmid pF03-4, complete sequence	circular	2138	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus	pF03-4	F03	NA	Taiwan	NA	NA	NA	NA	Non-mobilizable
KJ868092.1	UNVERIFIED: Lactobacillus pentosus strain F03 plasmid pF03-5, complete sequence	circular	1949	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus	pF03-5	F03	NA	Taiwan	NA	NA	NA	NA	Non-mobilizable
KJ909290.1	Aeromonas salmonicida subsp. salmonicida strain 2004-05MF26 plasmid pSN254b, complete sequence	circular	152216	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	pSN254b	2004-05MF26	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
KJ909291.1	Aeromonas salmonicida subsp. salmonicida strain 2009-144K3 plasmid pRAS3.3, complete sequence	circular	11845	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	pRAS3.3	2009-144K3	NA	NA	IncQ2	MOBP	NA	NA	Mobilizable
KJ909292.1	Aeromonas salmonicida subsp. salmonicida strain 2009-144K3 plasmid pAB5S9b, complete sequence	circular	25540	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	pAB5S9b	2009-144K3	NA	NA	rep_cluster_208	MOBQ	MPF_T	NA	Conjugative
KJ922127.1	Staphylococcus aureus strain 417 plasmid pLRSA417, complete sequence	circular	39504	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	pLRSA417	417	17-Apr-2013	China	rep_cluster_1142	MOBQ	MPF_T	NA	Conjugative
KJ940992.1	Pseudomonas sp. ZM1 plasmid pZM1P1, complete sequence	circular	7793	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. ZM1	pZM1P1	ZM1	NA	Poland	rep_cluster_1782	NA	NA	NA	Non-mobilizable
KJ940994.1	Pseudomonas sp. LM8 plasmid pLM8P2, complete sequence	circular	22750	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. LM8	pLM8P2	LM8	NA	Poland	rep_cluster_1562	NA	NA	NA	Non-mobilizable
KJ951051.1	Streptococcus dysgalactiae subsp. equisimilis strain G279 plasmid pG279, complete sequence	circular	1940	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae	pG279	G279	NA	India: Vellore	NA	NA	NA	NA	Non-mobilizable
KJ951052.1	Streptococcus dysgalactiae subsp. equisimilis strain G271 plasmid pG271, complete sequence	circular	6436	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae	pG271	G271	NA	India: Vellore	rep_cluster_1855	NA	NA	NA	Non-mobilizable
KJ958926.1	Klebsiella pneumoniae strain Kpn-3002cz plasmid pB-3002cz, complete sequence	circular	97649	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pB-3002cz	Kpn-3002cz	NA	NA	IncFII,rep_cluster_1418	MOBP	MPF_I	NA	Conjugative
KJ958927.1	Klebsiella pneumoniae strain Kpn-3002cz plasmid pS-3002cz, complete sequence	circular	73581	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pS-3002cz	Kpn-3002cz	NA	NA	IncR,IncFIA	NA	NA	NA	Non-mobilizable
KM007159.1	Lactococcus garvieae strain IPLA 31405 plasmid pLG9, complete sequence	circular	9124	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	pLG9	IPLA 31405	NA	NA	rep_cluster_554	NA	NA	MOBP	Mobilizable
KM007160.1	Lactococcus garvieae strain IPLA 31405 plasmid pLG42, complete sequence	circular	42459	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	pLG42	IPLA 31405	NA	NA	rep_cluster_656	MOBP	NA	MOBP	Mobilizable
KM017071.1	Sphingomonas sp. JE1 plasmid pJE1, complete sequence	circular	219885	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. JE1	pJE1	JE1	NA	NA	NA	NA	NA	NA	Non-mobilizable
KM023153.1	Escherichia coli strain PGR46 plasmid pPGRT46, complete sequence	circular	83155	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pPGRT46	PGR46	NA	NA	IncFIB	MOBC	MPF_T	NA	Conjugative
KM051846.1	Acinetobacter baumannii strain D72 plasmid pD72-2, complete sequence	circular	70102	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	pD72-2	D72	2010	Australia	rep_cluster_734	MOBF	MPF_F	NA	Conjugative
KM051986.1	Acinetobacter baumannii strain D72 plasmid pD72-1, complete sequence	linear	10967	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	pD72-1	D72	2010	Australia	rep_cluster_1172	NA	NA	NA	Non-mobilizable
KM052220.1	Escherichia coli strain H18 Hel20 TF1 plasmid pTF_H18 Hel20 TF1, complete sequence	circular	89961	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pTF_H18 Hel20 TF1	H18 Hel20 TF1	NA	NA	IncI1	MOBP	MPF_I	MOBP	Conjugative
KM063576.1	Lactobacillus reuteri strain LU4 plasmid pLU4, complete sequence	circular	33411	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	pLU4	LU4	NA	South Korea	rep_cluster_707	MOBQ	MPF_T	NA	Conjugative
KM067908.1	Vibrio parahaemolyticus strain 13-028/A3 plasmid pVPA3-1, complete sequence	circular	69168	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus	pVPA3-1	13-028/A3	2013	Viet Nam	rep_cluster_1486	NA	NA	NA	Non-mobilizable
KM083064.1	Vibrio cholerae strain ICDC-1447 plasmid pVC1447, complete sequence	circular	159635	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	pVC1447	ICDC-1447	NA	NA	IncA/C2,rep_cluster_1254	MOBH	MPF_F	MOBH	Conjugative
KM085449.1	Escherichia coli O104:H7 strain RM9387 plasmid pO104_H7, complete sequence	circular	168318	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO104_H7	RM9387	NA	NA	IncFIB,IncI1	MOBP	MPF_I	MOBP	Conjugative
KM085450.1	Escherichia coli O104:H21 strain 94-3024 plasmid pO104_H21, complete sequence	circular	161448	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pO104_H21	94-3024	NA	NA	IncFIB,IncFIIA	MOBP	MPF_I	MOBP	Conjugative
